Артикул;   Наименование;Единица измерения;Количество;Основной поставщик;Изображение;Тип материала;Закупочная цена;ГОСТ;Длина;Характеристика
Б1;Брус обрезной;шт.;;;;Брус;800 ;;6;
Б2;Брус обрезной;шт.;;;;Брус;1080 ;;6;
Б3;Брус обрезной;шт.;;;;Брус;1200 ;;6;
Б4;Брус обрезной;шт.;;;;Брус;1700 ;;6;
Б5;Брус обрезной;шт.;;;;Брус;530 ;;6;
Б6;Брус обрезной;шт.;;;;Брус;390 ;;6;
Б7;Брусок обрезной;шт.;;;;Брус;130 ;;6;
Б8;Брусок обрезной;шт.;;;;Брус;70 ;;3;
Б9;Брусок обрезной;шт.;;;;Брус;60 ;;3;
Б10;Брусок обрезной;шт.;;;;Брус;50 ;;3;
Б11;Брусок обрезной;шт.;;;;Брус;35 ;;3;
Б12;Брусок строганный;шт.;;;;Брус;130 ;;3;
В13;Вагонка;шт.;;;;Вагонка;120 ;;6;
В14;Вагонка;шт.;;;;Вагонка;102 ;;5;
В15;Вагонка;шт.;;;;Вагонка;82 ;;4;
В16;Вагонка;шт.;;;;Вагонка;65 ;;3;
В17;Вагонка;шт.;;;;Вагонка;60 ;;2,5;
В18;Вагонка;шт.;;;;Вагонка;48 ;;2;
Д19;Доска обрезная;шт.;;;;Доска;130 ;;6;
Д20;Доска обрезная;шт.;;;;Доска;200 ;;6;
Д21;Доска обрезная;шт.;;;;Доска;270 ;;6;
Д22;Доска обрезная;шт.;;;;Доска;330 ;;6;
Д23;Доска обрезная;шт.;;;;Доска;440 ;;6;
Д24;Доска обрезная;шт.;;;;Доска;280 ;;6;
Д25;Доска обрезная;шт.;;;;Доска;400 ;;6;
Д26;Доска обрезная;шт.;;;;Доска;530 ;;6;
Д27;Доска обрезная;шт.;;;;Доска;100 ;;6;
Д28;Доска обрезная;шт.;;;;Доска;115 ;;6;
Д29;Доска обрезная;шт.;;;;Доска;195 ;;6;
Д30;Доска обрезная;шт.;;;;Доска;290 ;;6;
Д31;Доска обрезная;шт.;;;;Доска;390 ;;6;
Д32;Доска половая;шт.;;;;Доска;400 ;;6;
Д33;Доска половая;шт.;;;;Доска;330 ;;6;
Д34;Доска строганная;шт.;;;;Доска;220 ;;6;
Д35;Доска строганная;шт.;;;;Доска;320 ;;6;
Д36;Доска строганная;шт.;;;;Доска;420 ;;6;
Д37;Доска строганная;шт.;;;;Доска;380 ;;6;
Д38;Доска строганная;шт.;;;;Доска;450 ;;6;
Д39;Доска строганная;шт.;;;;Доска;400 ;;6;
Д40;Доска строганная;шт.;;;;Доска;620 ;;6;
Д41;Доска строганная;шт.;;;;Доска;770 ;;6;
Е42;Евровагонка;шт.;;;;Евровагонка;120 ;;6;
Е43;Евровагонка;шт.;;;;Евровагонка;102 ;;5;
Е44;Евровагонка;шт.;;;;Евровагонка;82 ;;4;
Е45;Евровагонка;шт.;;;;Евровагонка;65 ;;3;
Е46;Евровагонка;шт.;;;;Евровагонка;60 ;;2,5;
Е47;Евровагонка;шт.;;;;Евровагонка;48 ;;2;
И48;Имитация бруса;шт.;;;;Имитация бруса;230 ;;6;
И49;Имитация бруса;шт.;;;;Имитация бруса;290 ;;6;
И50;Имитация бруса;шт.;;;;Имитация бруса;390 ;;6;
Н51;Наличник;м;;;;Наличник;100 ;;;
Н52;Наличник;м;;;;Наличник;100 ;;;
Р53;Раскладка (нащельник);м;;;;Раскладка;25 ;;;
Р54;Раскладка (нащельник);м;;;;Раскладка;25 ;;;
П55;Плинтус;м;;;;Плинтус;25 ;;;
П56;Плинтус;м;;;;Плинтус;30 ;;;
П57;Плинтус;м;;;;Плинтус;35 ;;;
У58;Уголок;м;;;;Уголое;50 ;;;
У59;Уголок;м;;;;Уголое;50 ;;;
У60;Уголок;м;;;;Уголое;50 ;;;
Ш61;Штапик;м;;;;Штапик;9 ;;;
д62;Доска обрезная; шт; 66;;;доска; 8000;ГОСТ 8486-86;6;
д63; Доска обрезная ; шт; 44 ;;;доска; 8000;ГОСТ 8486-86;6;
д64; Доска обрезная ; шт; 37 ;;;доска; 8000;ГОСТ 8486-86;6;
д65; Доска обрезная ; шт; 27 ;;;доска; 8000;ГОСТ 8486-86;6;
д66; Доска обрезная ; шт; 22 ;;;доска; 8000;ГОСТ 8486-86;;
д67; Доска обрезная ; шт; 16 ;;;доска; 8000;ГОСТ 8486-86;;
д68; Брус ; шт; 33 ;;;доска; 8000;ГОСТ 8486-86;;
д69; Брус ; шт; 16 ;;;доска; 8000;ГОСТ 8486-86;;
д70; Брус ; шт; 11 ;;;доска; 8000;ГОСТ 8486-86;;
д71; Брус ; шт; 7 ;;;доска; 8000;ГОСТ 8486-86;;
д72; Брус ; шт;4;;;доска;8000;ГОСТ 8486-86;;
д73; Доска обрезная ; шт; 66 ;;;доска; 7200;;;
д74; Доска обрезная ; шт; 44 ;;;доска; 7200;;;
д75; Доска обрезная ; шт; 37 ;;;доска; 7200;;;
д76; Доска обрезная ; шт; 27 ;;;доска; 7200;;;
д77; Доска обрезная ; шт; 22 ;;;доска; 7200;;;
д78; Доска обрезная ; шт; 16 ;;;доска; 7200;;;
д79; Брус ; шт; 33 ;;;доска; 7200;;;
д80; Брус ; шт; 16 ;;;доска; 7200;;;
д81; Брус ; шт; 11 ;;;доска; 7200;;;
82; Брус ; шт; 7 ;;;; 7200;;;
д83; Брус ; шт; 4 ;;;доска; 7200;;;
д84;Доска обрезная ; шт; 66 ;;;доска; 6990;;;
д85; Доска обрезная ; шт; 44 ;;;доска; 6990;;;
д86; Доска обрезная ; шт; 37 ;;;доска; 6990;;;
д87; Доска обрезная ; шт; 27 ;;;доска; 6990;;;
д88; Доска обрезная ; шт; 22 ;;;доска; 6990;;;
д89; Доска обрезная ; шт; 16 ;;;доска; 6990;;;
д90; Брус ; шт; 33 ;;;доска; 6990;;;
д91; Брус ; шт; 16 ;;;доска; 6990;;;
д92; Брус ; шт; 11 ;;;доска; 6990;;;
д93; Брус ; шт; 7 ;;;доска; 6990;;;
д94; Брус ; шт; 4 ;;;доска; 6990;;;
д95;Доска обрезная ; шт; 66 ;;;доска; 6390;;;
