Артикул;Наименование;Единица_измерения;Количество;Основной_поставщик;Изображение;Тип_фурнитуры;Закупочная_цена;Вес
PN63;Дюбель 6 серый;шт;2302;;;Дюбель;1,13;
PN84;Дюбель  серый;шт;1018;;;Дюбель;1,91;
40060805;Саморез с потайной головкой под крест ;шт;2122;;;Саморез;0,42;
60103350ZN;LIKU Саморез с полукруглой головкой под крест для крепления мебельного навеса;шт;1420;;;Саморез;4,24;
SW50X35KB;Саморез с цилиндрической головкой и внутренним шестигранником;шт;544;;;Саморез;4,68;
SW60X35KB;Саморез с цилиндрической головкой и внутренним шестигранником;шт;1176;;;Саморез;4,68;
US30X13KB;Саморез с потайной головкой под крест;упак;767;;;Саморез;269,86;
US30X16KB;Саморез с потайной головкой под крест;упак;2088;;;Саморез;301,87;
US30X20KB;Саморез с потайной головкой под крест;упак;699;;;Саморез;350,93;
US30X30KB;Саморез с потайной головкой под крест;упак;699;;;Саморез;450,09;
US35X13KB;Саморез с потайной головкой под крест;упак;1132;;;Саморез;264,84;
US35X16BL;Саморез с потайной головкой под крест;упак;2751;;;Саморез;61,85;
US35X16KB;Саморез с потайной головкой под крест;упак;2707;;;Саморез;299,47;
US35X20KB;Саморез с потайной головкой под крест;упак;2708;;;Саморез;357,00;
US35X25KB;Саморез с потайной головкой под крест;упак;1192;;;Саморез;403,87;
US35X30KB;Саморез с потайной головкой под крест;упак;710;;;Саморез;431,85;
US35X40KB;Саморез с потайной головкой под крест;упак;1355;;;Саморез;604,53;
US35X60KB;Саморез с потайной головкой под крест;упак;1504;;;Саморез;262,86;
US40X16BL;Саморез с потайной головкой под крест;упак;334;;;Саморез;70,54;
US40X16KB;Саморез с потайной головкой под крест;упак;1634;;;Саморез;368,53;
US40X20KB;Саморез с потайной головкой под крест;упак;1224;;;Саморез;209,57;
US40X25KB;Саморез с потайной головкой под крест;упак;137;;;Саморез;241,87;
US40X30KB;Саморез с потайной головкой под крест;упак;1596;;;Саморез;290,28;
US40X40KB;Саморез с потайной головкой под крест;упак;2868;;;Саморез;333,96;
US60X30KB;Саморез с потай;упак;1575;;;Саморез;316,52;
US60X30KB;Саморез с потай;упак;1718;;;Саморез;30,50;
UW30X50KB;Саморез с полукруглой головкой под крест;упак;277;;;Саморез;200,00;
UW30X50KB;Саморез с полукруглой головкой под крест;упак;1458;;;Саморез;20,00;
UW40X30KB;Саморез с полукруглой головкой под крест;упак;2933;;;Саморез;1046,77;
63Х13VЕ05;Евровинт с потайной головкой;тыс. шт.;1033;;;Евровинт;679,45;
EC40X130;Евровинт с потайной головкой;тыс. шт.;1326;;;Евровинт;484,65;
EC60X115;Евровинт с потайной головкой;шт;2521;;;Евровинт;0,78;
EC63X130;Евровинт с потайной головкой;тыс. шт.;2482;;;Евровинт;679,45;
EC63X160;Евровинт с потайной головкой;упак;1619;;;Евровинт;106,44;
EC63X200;Евровинт с потайной головкой;упак;1237;;;Евровинт;130,97;
